station_id,name,language,valid_from,valid_to,name_type,source_id,notes
PL.STN.Wisla_Glebce,Вісла Ґлембце,und,,,alt,SRC.osm,
PL.STN.Mosina,Mosina,ru,,,official,SRC.osm,
PL.STN.Mosina,Moschin,und,,,alt,SRC.osm,
PL.STN.Mosina,Мосина,und,,,alt,SRC.osm,
PL.STN.Mosina,Мосіна,und,,,alt,SRC.osm,
PL.STN.Park_Kopernika,Park Kopernika,ru,,,official,SRC.osm,
PL.STN.Park_Kopernika,Park,und,,,alt,SRC.osm,
PL.STN.Myslakowice,Mysłakowice,ru,,,official,SRC.osm,
PL.STN.Myslakowice,Zillerthal-Erdmannsdorf,und,,,alt,SRC.osm,
PL.STN.Krauschwitz__Baierweiche,Krauschwitz / Baierweiche,ru,,,official,SRC.osm,
PL.STN.Bad_Muskau_Feuerturmteich,Bad Muskau Feuerturmteich,ru,,,official,SRC.osm,
PL.STN.Bad_Muskau,Bad Muskau,ru,,,official,SRC.osm,
PL.STN.Bad_Muskau,Mužakow,und,,,alt,SRC.osm,
PL.STN.Bad_Muskau,Бад Мускау,und,,,alt,SRC.osm,
PL.STN.Suchatowka,Suchatówka,ru,,,official,SRC.osm,
PL.STN.Wierzchoslawice,Wierzchosławice,ru,,,official,SRC.osm,
PL.STN.Wierzchoslawice,Вешхославице,und,,,alt,SRC.osm,
PL.STN.Wierzchoslawice,Вєжхославіце,und,,,alt,SRC.osm,
PL.STN.Wieclawice,Więcławice,ru,,,official,SRC.osm,
PL.STN.Wieclawice,Венцлавице,und,,,alt,SRC.osm,
PL.STN.Wieclawice,Вєнцлавіце,und,,,alt,SRC.osm,
PL.STN.Inowroclaw,Inowrocław,ru,,,official,SRC.osm,
PL.STN.Inowroclaw,Hohensalza,und,,,alt,SRC.osm,
PL.STN.Inowroclaw,Іновроцлав,und,,,alt,SRC.osm,
PL.STN.Inowroclaw,Иновроцлав,und,,,alt,SRC.osm,
PL.STN.Opole_Groszowice,Opole Groszowice,ru,,,official,SRC.osm,
PL.STN.Opole_Groszowice,Oppeln Groschowitz,und,,,alt,SRC.osm,
PL.STN.Opole_Groszowice,Ополе Грошовице,und,,,alt,SRC.osm,
PL.STN.Opole_Groszowice,Ополе Ґрошовіце,und,,,alt,SRC.osm,
